name,num_workers,workers_distribution,policy_name,num_items,data_bal,items_diff,num_states,cost,cost_std,recall,recall_std,precision,precision_std,loss,loss_std,f1,f1_std,fbeta,fbeta_std,estimate_after,avg_error_rate,wce,wce_std,fnc,fpc,ucc,uc,uc_std
unclassify-fnc-1-fpc-1-uc0.5,100,"Normal(1,0.2)",unclassify-fnc-1-fpc-1-u0.5.policy,1000,0.5,0.5,23,500.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,False,1,0.0,0.0,-1,-1,0.5,1000.0,0.0
unclassify-fnc-1-fpc-5-uc0.5,100,"Normal(1,0.2)",unclassify-fnc-1-fpc-5-u0.5.policy,1000,0.5,0.5,23,500.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,False,1,0.0,0.0,-1,-5,0.5,1000.0,0.0
unclassify-fnc-1-fpc-10-uc0.5,100,"Normal(1,0.2)",unclassify-fnc-1-fpc-10-u0.5.policy,1000,0.5,0.5,23,500.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,False,1,0.0,0.0,-1,-10,0.5,1000.0,0.0
unclassify-fnc-1-fpc-500-uc0.5,100,"Normal(1,0.2)",unclassify-fnc-1-fpc-500-u0.5.policy,1000,0.5,0.5,23,500.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,False,1,0.0,0.0,-1,-500,0.5,1000.0,0.0
unclassify-fnc-5-fpc-1-uc0.5,100,"Normal(1,0.2)",unclassify-fnc-5-fpc-1-u0.5.policy,1000,0.5,0.5,23,500.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,False,1,0.0,0.0,-5,-1,0.5,1000.0,0.0
unclassify-fnc-5-fpc-5-uc2.5,100,"Normal(1,0.2)",unclassify-fnc-5-fpc-5-u2.5.policy,1000,0.5,0.5,23,1.0,0.0,0.761,0.011,0.759,0.016,0.717,0.031,0.76,0.012,0.761,0.011,False,1,1.201,0.064,-5,-5,2.5,0.0,0.0
unclassify-fnc-5-fpc-10-uc2.5,100,"Normal(1,0.2)",unclassify-fnc-5-fpc-10-u2.5.policy,1000,0.5,0.5,23,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,False,1,2.5,0.0,-5,-10,2.5,0.0,0.0
unclassify-fnc-5-fpc-500-uc2.5,100,"Normal(1,0.2)",unclassify-fnc-5-fpc-500-u2.5.policy,1000,0.5,0.5,23,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,False,1,2.5,0.0,-5,-500,2.5,0.0,0.0
unclassify-fnc-10-fpc-1-uc0.5,100,"Normal(1,0.2)",unclassify-fnc-10-fpc-1-u0.5.policy,1000,0.5,0.5,23,500.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,False,1,0.0,0.0,-10,-1,0.5,1000.0,0.0
unclassify-fnc-10-fpc-5-uc2.5,100,"Normal(1,0.2)",unclassify-fnc-10-fpc-5-u2.5.policy,1000,0.5,0.5,23,0.0,0.0,1.0,0.0,0.5,0.0,0.5,0.0,0.667,0.0,0.99,0.0,False,1,2.5,0.0,-10,-5,2.5,0.0,0.0
